date,Average,Sum
200508000000,9.617442781,1877.686414
200509000000,9.565693842,1887.252108
200510000000,13.7366129,1900.988721
200511000000,12.75406944,1913.742791
200512000000,13.55526882,1927.298059
200601000000,13.67872312,1940.976783
200602000000,13.24441964,1954.221202
200603000000,12.9556623,1967.176865
200604000000,14.24294842,1981.419813
200605000000,17.62600637,1999.045819
200606000000,18.14149008,2017.187309
200607000000,14.45926768,2031.646577
200608000000,9.72548291,2041.37206
200609000000,12.02995406,2053.402014
200610000000,12.42969086,2065.831705
200611000000,13.463375,2079.29508
200612000000,14.86432887,2094.159409
200701000000,14.77172043,2108.931129
200702000000,12.53403274,2121.465162
200703000000,12.91142211,2134.376584
200704000000,13.97648764,2148.353072
200705000000,15.12316193,2163.476234
200706000000,18.6017298,2182.077963
200707000000,15.37283602,2197.450799
200708000000,9.69985865,2207.150658
200709000000,7.276110295,2214.426768
200710000000,7.725556134,2222.152324
200711000000,9.264736111,2231.417061
200712000000,9.712486559,2241.129547
200801000000,10.39909946,2251.528647
200802000000,9.090057471,2260.618704
200803000000,5.693006272,2266.31171
200804000000,10.16045785,2276.472168
200805000000,11.40990038,2287.882069
200806000000,9.089373687,2296.971442
200807000000,9.971922043,2306.943364
200808000000,9.722083334,2316.665448
200809000000,9.172055587,2325.837503
200810000000,9.077484087,2334.914987
200811000000,8.6625,2343.577487
200812000000,10.81364247,2354.39113
200901000000,10.94776882,2365.338899
200902000000,7.497217262,2372.836116
200903000000,8.447550098,2381.283666
200904000000,9.589349206,2390.873015
200905000000,11.46046659,2402.333482
200906000000,11.94474252,2414.278224
200907000000,12.6928629,2426.971087
200908000000,8.517379033,2435.488466
200909000000,5.221666667,2440.710133
200910000000,4.764018817,2445.474152
200911000000,6.629751984,2452.103904
200912000000,7.869650538,2459.973554
201001000000,9.227352151,2469.200906
201002000000,8.722261905,2477.923168
201003000000,7.432641129,2485.355809
201004000000,9.840486111,2495.196296
201005000000,11.10201613,2506.298312
201006000000,10.76289216,2517.061204
201007000000,10.06431329,2527.125517
201008000000,6.399406682,2533.524924
201009000000,6.227551768,2539.752476
201010000000,6.398024194,2546.1505
201011000000,6.488406746,2552.638907
201012000000,6.878037635,2559.516944
201101000000,6.571505376,2566.08845
201102000000,6.382172619,2572.470622
201103000000,6.969959677,2579.440582
201104000000,8.196186869,2587.636769
201105000000,10.98827573,2598.625044
201106000000,13.46740812,2612.092453
201107000000,14.3869422,2626.479395
201108000000,8.880817972,2635.360213
201109000000,5.10547222,2640.465685
201110000000,0.973924731,2641.43961
201111000000,3.735714286,2645.175324
201112000000,5.157932028,2650.333256
201201000000,5.362163979,2655.69542
201202000000,6.774295977,2662.469716
201203000000,9.770510753,2672.240227
201204000000,15.88012897,2688.120356
201205000000,17.09270161,2705.213057
201206000000,18.8944623,2724.10752
201207000000,12.80257616,2736.910096
201208000000,6.348853047,2743.258949
201209000000,3.406055556,2746.665004
201210000000,0.597043011,2747.262047
201211000000,0.620333334,2747.882381
201212000000,0.643736559,2748.526117
201301000000,1.20733871,2749.733456
201302000000,2.451607143,2752.185063
201303000000,4.841653313,2757.026716
201304000000,13.25127656,2770.277993
201305000000,28.37857143,2798.656564
201306000000,32.275,2830.931564
201307000000,37.74285714,2868.674422
201308000000,31.925,2900.599422
201309000000,13.09166667,2913.691088
201310000000,37.96,2951.651088
201311000000,35.25,2986.901088
201312000000,46.0625,3032.963588
201401000000,43.77,3076.733588
201402000000,9.95,3086.683588
201403000000,7.911818182,3094.595406
201404000000,27.13333334,3121.72874
201405000000,31.17291667,3152.901656
201406000000,26.52124183,3179.422898
201407000000,26.46727273,3205.890171
201408000000,17.14024768,3223.030419
201409000000,20.59833334,3243.628752
201410000000,21.055,3264.683752
201411000000,23.1125,3287.796252
201412000000,23.18,3310.976252
201501000000,20.9625,3331.938752
201502000000,21.1,3353.038752
201503000000,16.1125,3369.151252
201504000000,19.395,3388.546252
201505000000,22.15555556,3410.701808
201506000000,22.05705128,3432.758859
201507000000,20.09818182,3452.857041
201508000000,15.22916667,3468.086207
201509000000,15.17307692,3483.259284
201510000000,15.22013889,3498.479423
201511000000,15.01845238,3513.497875
201512000000,12.32727273,3525.825148
